date,temp,etp,precip
24-03-2022 00:00,9.2,0.0,0.0
24-03-2022 01:00,8.8,0.0,0.0
24-03-2022 02:00,8.7,0.0,0.0
24-03-2022 03:00,8.3,0.0,0.0
24-03-2022 04:00,6.8,0.0,0.0
24-03-2022 05:00,6.3,0.01,0.0
24-03-2022 06:00,6.7,0.01,0.0
24-03-2022 07:00,5.4,0.0,0.0
24-03-2022 08:00,6.7,0.0,0.0
24-03-2022 09:00,9.1,0.02,0.0
24-03-2022 10:00,11.8,0.08,0.0
24-03-2022 11:00,14.7,0.15,0.0
24-03-2022 12:00,15.7,0.22,0.0
24-03-2022 13:00,16.8,0.25,0.0
24-03-2022 14:00,17.3,0.26,0.0
24-03-2022 15:00,17.3,0.25,0.0
24-03-2022 16:00,17.1,0.21,0.0
24-03-2022 17:00,16.5,0.17,0.0
24-03-2022 18:00,15.2,0.11,0.0
24-03-2022 19:00,12.7,0.05,0.0
24-03-2022 20:00,11.2,0.03,0.0
24-03-2022 21:00,10.5,0.03,0.0
24-03-2022 22:00,10.0,0.02,0.0
24-03-2022 23:00,9.6,0.02,0.0
25-03-2022 00:00,9.1,0.02,0.0
25-03-2022 01:00,8.9,0.02,0.0
25-03-2022 02:00,8.6,0.02,0.0
25-03-2022 03:00,8.1,0.02,0.0
25-03-2022 04:00,8.0,0.02,0.0
25-03-2022 05:00,7.7,0.02,0.0
25-03-2022 06:00,7.3,0.02,0.0
25-03-2022 07:00,7.1,0.02,0.0
25-03-2022 08:00,8.3,0.02,0.0
25-03-2022 09:00,11.0,0.05,0.0
25-03-2022 10:00,13.0,0.1,0.0
25-03-2022 11:00,14.5,0.17,0.0
25-03-2022 12:00,15.6,0.21,0.0
25-03-2022 13:00,16.3,0.24,0.0
25-03-2022 14:00,16.8,0.25,0.0
25-03-2022 15:00,17.3,0.24,0.0
25-03-2022 16:00,17.3,0.21,0.0
25-03-2022 17:00,16.7,0.18,0.0
25-03-2022 18:00,15.4,0.12,0.0
25-03-2022 19:00,12.9,0.05,0.0
25-03-2022 20:00,11.1,0.03,0.0
25-03-2022 21:00,10.6,0.03,0.0
25-03-2022 22:00,10.2,0.03,0.0
25-03-2022 23:00,9.9,0.03,0.0
26-03-2022 00:00,9.5,0.03,0.0
26-03-2022 01:00,9.3,0.02,0.0
26-03-2022 02:00,8.9,0.02,0.0
26-03-2022 03:00,8.2,0.02,0.0
26-03-2022 04:00,8.2,0.02,0.0
26-03-2022 05:00,8.5,0.02,0.0
26-03-2022 06:00,8.4,0.02,0.0
26-03-2022 07:00,8.5,0.03,0.0
26-03-2022 08:00,9.4,0.04,0.0
26-03-2022 09:00,10.8,0.08,0.0
26-03-2022 10:00,12.4,0.12,0.0
26-03-2022 11:00,13.9,0.16,0.0
26-03-2022 12:00,15.1,0.2,0.0
26-03-2022 13:00,16.0,0.23,0.0
26-03-2022 14:00,16.0,0.27,0.0
26-03-2022 15:00,16.4,0.26,0.0
26-03-2022 16:00,16.4,0.24,0.0
26-03-2022 17:00,16.2,0.19,0.0
26-03-2022 18:00,15.2,0.13,0.0
26-03-2022 19:00,13.4,0.05,0.0
26-03-2022 20:00,11.7,0.02,0.0
26-03-2022 21:00,11.1,0.01,0.0
26-03-2022 22:00,10.2,0.01,0.0
26-03-2022 23:00,9.9,0.01,0.0
27-03-2022 00:00,9.1,0.01,0.0
27-03-2022 01:00,8.3,0.01,0.0
27-03-2022 02:00,7.3,0.01,0.0
27-03-2022 03:00,6.1,0.0,0.0
27-03-2022 04:00,5.4,0.0,0.0
27-03-2022 05:00,4.2,0.0,0.0
27-03-2022 06:00,3.2,0.0,0.0
27-03-2022 07:00,2.7,0.0,0.0
27-03-2022 08:00,4.1,0.0,0.0
27-03-2022 09:00,8.4,0.03,0.0
27-03-2022 10:00,11.6,0.1,0.0
27-03-2022 11:00,13.4,0.18,0.0
27-03-2022 12:00,15.1,0.23,0.0
27-03-2022 13:00,16.4,0.26,0.0
27-03-2022 14:00,17.3,0.27,0.0
